videoId,category,viewCount,likeCount
3yd_eoMOvqk,Shows,442373914,3372698
PnAMEe0GGG8,Shows,331672629,1153546
soC-46cfs_w,Shows,205801988,594265
FGViL3CYRwg,Shows,139576017,479926
Rmp6zIr5y4U,Shows,98470183,612924
JRSYMfC2PFU,Shows,98007988,75843
oNWOC_Pvo4w,Shows,84662605,544094
l-1wyWPYGLE,Shows,83490477,130715
0YnAg54CrDc,Shows,82088921,67010
kiuucxNmY-w,Shows,77305845,487678
YR5ApYxkU-U,Education,282963595,1224816
-Hfr7gnCY2E,Education,25067248,29883
Wiz7oE66-lY,Education,24480179,45314
jL9uVBhEAzM,Education,24199486,21538
sllpme6kf6E,Education,22344012,12427
pDH11Yk-2-w,Education,19196226,33416
6uuy1YieTto,Education,19005202,32071
K3CBRFKif6w,Education,18258823,20393
zHxMjbm-V_M,Education,18054283,24135
6CTguakabk8,Education,15751117,18304
sOnqjkJTMaA,Thriller,471837374,2174469
hMnk7lh9M3o,Thriller,58030189,142653
4V90AmXnguw,Thriller,44303111,196733
xIx_HbmRnQY,Thriller,33638573,131223
3cxixDgHUYw,Thriller,32988988,409056
hG6oy46qKE4,Thriller,27822453,57646
ZhflzGDiDIM,Thriller,23177084,29480
G_JtNhTzg5s,Thriller,19307680,139847
YT6InvLJUzA,Thriller,18412717,33593
7DOzITFjq70,Thriller,18344593,72049
-4yI-VEA8pw,Gaming,34565016,258951
KHoOrFdgYR8,Gaming,23284215,308811
ot3wAWjCVsM,Gaming,19149180,108834
4HeuSfywgyo,Gaming,18003850,10840
VycoBoE4Qkk,Gaming,16730566,42489
7bxK6Y5qy9s,Gaming,16562998,62740
fdtwK01ak4s,Gaming,16011849,119948
cleHftMNghI,Gaming,14161071,96756
klj3qXEaFJQ,Gaming,13939387,41153
nzZrBWLaxfg,Gaming,11055970,206567
tJ7JcweIOZ4,Entertainment,93433865,516080
Tk2ojsflPws,Entertainment,41349570,124318
IsPFDzAGb4A,Entertainment,34943007,187615
L7XBQRV98mI,Entertainment,18679893,66453
9pqGGChiAjM,Entertainment,18334379,77791
pR_H1_ksvzw,Entertainment,17553994,31670
IZz1Um1i8cA,Entertainment,13942044,34005
Q6zGBLncdzY,Entertainment,11468219,31379
h7Nv1Jy1d0Y,Entertainment,10556076,58038
39udgGPyYMg,Entertainment,10486334,126912
TxyvS85GyqM,Videoblogging,4220480,4229
4LwVYPGfRZQ,Videoblogging,2010633,15179
N0uhvIs2kG8,Videoblogging,1354601,1301
ekDLX-HTT2M,Videoblogging,1089489,738
HvfBz-kbbz8,Videoblogging,827778,26651
6lw8pnmPhrA,Videoblogging,547059,2691
wvOPRXjCEH0,Videoblogging,461747,732
h9nLubLxuLc,Videoblogging,442077,14154
sUF42fC7mV4,Videoblogging,414126,6182
_xXHFQIz7tk,Videoblogging,301033,72
lbYIUnV8u7E,Travel & Events,27740348,163480
cOqKQ-8X-Yo,Travel & Events,21709243,293602
nwpj9_hrK_A,Travel & Events,20188679,275722
Rip0bX2qrIs,Travel & Events,19094255,111642
5-nrF-HIyOM,Travel & Events,17152812,35508
iqKdEhx-dD4,Travel & Events,15461398,313361
A__vBYMrzlw,Travel & Events,14906639,47999
bbzKyzTLddc,Travel & Events,10432713,52708
_xWsunB0BUI,Travel & Events,8706145,19417
7oaGUg7ik_c,Travel & Events,8266229,84939
VzudVzZE7LE,Science & Technology,38819781,167659
_h2VmkM5nXE,Science & Technology,18136331,17190
VoLZXXQL-YY,Science & Technology,17414189,123156
HpaHvUOk3F0,Science & Technology,7720778,134460
vHbLRf3C9KI,Science & Technology,5590103,48211
wVoiEz6-WY0,Science & Technology,4627829,9933
mpw_FB2QrjQ,Science & Technology,4478463,74061
t0R0Xr0e-uk,Science & Technology,2917241,10107
H93bgnTmb0s,Science & Technology,2586550,6712
ohM1TfpEQmc,Science & Technology,1495561,5900
NGLxoKOvzu4,Foreign,936179527,4627276
6Prfg3vyZkA,Foreign,99783277,898311
cjj2E9dwjjU,Foreign,60807128,265085
7JH3llzFJ_w,Foreign,51877635,38536
Bw2w3oCROR8,Foreign,28515417,291347
Nw-YjVp_ibQ,Foreign,22903844,87618
WzmJ1KrU62I,Foreign,19014287,239525
yLRQ3kBy2Vc,Foreign,15522676,20262
khj9jyNvhpQ,Foreign,15506033,77316
pZOF9q5fzfs,Foreign,13579229,104957
_lyAEL4Wqao,Sports,44512978,270346
